2024-11-07 21:32:36 - AppLogger - INFO - Initializing MainWindow
2024-11-07 21:32:36 - AppLogger - INFO - Page 'Login' initialized.
2024-11-07 21:32:36 - AppLogger - INFO - Page 'Register' initialized.
2024-11-07 21:32:36 - AppLogger - INFO - Page 'Main' initialized.
2024-11-07 21:32:36 - AppLogger - DEBUG - Set application window style.
2024-11-07 21:32:36 - AppLogger - INFO - Showing page 'Login'.
2024-11-07 21:32:36 - AppLogger - DEBUG - Added 'Login' to page history.
2024-11-07 21:32:37 - AppLogger - INFO - Attempting login with username: 123, password: 123
2024-11-07 21:32:37 - AppLogger - INFO - Showing page 'Main'.
2024-11-07 21:32:37 - AppLogger - DEBUG - Added 'Main' to page history.
2024-11-07 21:32:38 - AppLogger - INFO - Showing page notification_center
2024-11-07 21:32:39 - AppLogger - INFO - Started dragging the window.
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (1, 0).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (2, 0).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (2, 1).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (3, 1).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (3, 2).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (4, 2).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (5, 3).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (6, 3).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (6, 4).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (7, 4).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (8, 4).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (8, 5).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (9, 5).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (9, 6).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (10, 6).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (10, 7).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (11, 7).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (12, 7).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (12, 8).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (13, 8).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (13, 9).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (14, 9).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (14, 10).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (14, 11).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (15, 11).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (15, 12).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (16, 12).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (16, 13).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (17, 14).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (18, 14).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (18, 15).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (19, 15).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (19, 16).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (20, 16).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (20, 17).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (21, 18).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (22, 18).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (23, 19).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (24, 20).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (25, 21).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (26, 22).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (27, 22).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (27, 23).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (29, 23).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (29, 24).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (30, 25).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (30, 25).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (31, 26).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (33, 27).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (34, 28).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (35, 29).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (36, 29).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (37, 30).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (38, 30).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (39, 31).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (39, 32).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (41, 34).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (41, 34).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (45, 36).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (50, 39).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (50, 40).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (51, 42).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (54, 43).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (55, 43).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (57, 45).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (61, 48).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (60, 48).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (61, 48).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (66, 51).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (67, 53).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (71, 55).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (71, 55).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (72, 55).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (74, 56).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (75, 57).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (77, 59).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (79, 60).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (86, 65).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (85, 64).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (90, 66).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (94, 69).
2024-11-07 21:32:40 - AppLogger - DEBUG - Window moved to (100, 74).
